#       RA           DEC
      46.0440     -37.9372
      45.6631     -40.5646
      44.9732     -43.1582
      43.9372     -45.6966
      42.5130     -48.1553
      40.6547     -50.5058
      38.3151     -52.7152
      35.4508     -54.7453
      32.0305     -56.5534
      28.0474     -58.0927
      23.5330     -59.3155
      18.5701     -60.1772
      13.2976     -60.6419
      7.90010     -60.6889
      2.58260     -60.3159
      357.537     -59.5400
      352.914     -58.3940
      348.808     -56.9210
      345.262     -55.1686
      342.276     -53.1840
      339.823     -51.0111
      337.861     -48.6889
      336.345     -46.2517
      335.386     -44.1517
      334.566     -41.5769
      334.069     -38.9602
      333.862     -36.3214
      333.914     -33.6778
      334.203     -31.0451
      334.707     -28.4377
      335.411     -25.8689
      336.300     -23.3516
      337.364     -20.8979
      338.591     -18.5198
      339.974     -16.2290
      341.506     -14.0369
      343.179     -11.9551
      344.986     -9.99487
      346.921     -8.16738
      348.976     -6.48360
      351.144     -4.95409
      353.415     -3.58896
      355.778     -2.39767
      358.224     -1.38881
     0.737903    -0.569977
      3.30758    0.0524750
      5.91782     0.473564
      8.55305     0.689896
      11.1972     0.699677
      13.8340     0.502823
      16.4472     0.100945
      19.0214    -0.502663
      21.1601     -1.16819
      23.6237     -2.13068
      26.0086     -3.27760
      28.3033     -4.60054
      30.4972     -6.09029
      32.5811     -7.73687
      34.5466     -9.52979
      36.3863     -11.4582
      38.0930     -13.5110
      39.6602     -15.6768
      41.0808     -17.9443
