# ID        RA           DEC
  751       38.8305     -38.8781
  752       38.0115     -41.2749
  753       36.8322     -43.5944
  754       35.2622     -45.8063
  755       33.2733     -47.8769
  756       30.8444     -49.7693
  757       27.9670     -51.4439
  758       24.6529     -52.8596
  759       20.9417     -53.9764
  760       16.9062     -54.7587
  761       12.6523     -55.1790
  762       8.31141     -55.2214
  763       4.02608     -54.8844
  764       359.932     -54.1806
  765       356.141     -53.1354
  766       352.734     -51.7828
  767       349.757     -50.1623
  768       347.229     -48.3149
  769       345.143     -46.2806
  770       343.482     -44.0972
  771       342.114     -41.5656
  772       341.252     -39.1768
  773       340.724     -36.7347
  774       340.502     -34.2640
  775       340.559     -31.7871
  776       340.874     -29.3246
  777       341.425     -26.8954
  778       342.196     -24.5174
  779       343.170     -22.2072
  780       344.335     -19.9810
  781       345.678     -17.8541
  782       347.187     -15.8415
  783       348.852     -13.9574
  784       350.661     -12.2157
  785       352.602     -10.6294
  786       354.664     -9.21094
  787       356.834     -7.97174
  788       359.097     -6.92215
  789       1.43837     -6.07118
  790       3.84241     -5.42635
  791       6.29176     -4.99348
  792       8.76858     -4.77655
  793       11.2545     -4.77757
  794       13.7312     -4.99652
  795       16.1802     -5.43138
  796       19.3462     -6.33097
  797       21.6635     -7.24875
  798       23.8972     -8.36230
  799       26.0325     -9.66217
  800       28.0559     -11.1376
  801       29.9546     -12.7769
  802       31.7167     -14.5674
  803       33.3311     -16.4956
  804       34.7864     -18.5478
  805       36.0716     -20.7093
  806       37.1749     -22.9651
  807       38.0834     -25.2996
  808       38.7830     -27.6965
  809       39.2578     -30.1387
  810       39.4893     -32.6082
  811       39.4566     -35.0854
  812       38.0534     -36.8938
  813       37.4536     -39.2935
  814       36.5118     -41.6318
  815       35.1992     -43.8797
  816       33.4884     -46.0047
  817       31.3568     -47.9714
  818       28.7912     -49.7414
  819       25.7946     -51.2747
  820       22.3931     -52.5311
  821       18.6419     -53.4730
  822       14.6281     -54.0693
  823       10.4666     -54.2987
  824       6.28992     -54.1526
  825       2.23245     -53.6365
  826       358.414     -52.7691
  827       354.929     -51.5797
  828       351.839     -50.1046
  829       349.176     -48.3837
  830       346.949     -46.4574
  831       345.146     -44.3645
  832       344.274     -43.0675
  833       343.101     -40.7829
  834       342.288     -38.4188
  835       341.807     -36.0034
  836       341.630     -33.5620
  837       341.733     -31.1179
  838       342.093     -28.6923
  839       342.691     -26.3049
  840       343.510     -23.9742
  841       344.533     -21.7176
  842       345.748     -19.5520
  843       347.140     -17.4932
  844       348.698     -15.5568
  845       350.410     -13.7573
  846       352.264     -12.1089
  847       354.247     -10.6248
  848       356.345     -9.31721
  849       358.545     -8.19745
  850      0.831221     -7.27531
  851       3.18684     -6.55918
  852       5.59468     -6.05566
  853       8.03653     -5.76949
  854       10.4936     -5.70341
  855       12.9468     -5.85806
  856       15.3773     -6.23193
  857       17.7663     -6.82151
  858       19.7551     -7.48972
  859       22.0208     -8.46276
  860       24.1964     -9.63107
  861       26.2670     -10.9845
  862       28.2183     -12.5114
  863       30.0373     -14.1994
  864       31.7115     -16.0349
  865       33.2289     -18.0038
  866       34.5773     -20.0911
  867       35.7445     -22.2813
  868       36.7174     -24.5582
  869       37.4816     -26.9050
  870       38.0213     -29.3039
  871       38.3184     -31.7361
  872       38.3527     -34.1816
  873       41.4562     -37.8800
  874       40.8832     -40.3778
  875       39.9748     -42.8223
  876       38.6975     -45.1872
  877       37.0161     -47.4430
  878       34.8973     -49.5564
  879       32.3136     -51.4903
  880       29.2507     -53.2043
  881       25.7157     -54.6558
  882       21.7469     -55.8030
  883       17.4202     -56.6078
  884       12.8510     -57.0405
  885       8.18477     -57.0842
  886       3.58054     -56.7371
  887       359.189     -56.0130
  888       355.132     -54.9389
  889       351.496     -53.5516
  890       348.326     -51.8923
  891       345.637     -50.0038
  892       343.417     -47.9269
  893       341.641     -45.6998
  894       340.197     -43.1914
  895       339.234     -40.7574
  896       338.611     -38.2662
  897       338.298     -35.7416
  898       338.266     -33.2047
  899       338.490     -30.6749
  900       338.950     -28.1697
  901       339.628     -25.7057
  902       340.508     -23.2983
  903       341.577     -20.9625
  904       342.823     -18.7124
  905       344.236     -16.5620
  906       345.805     -14.5247
  907       347.522     -12.6136
  908       349.376     -10.8414
  909       351.358     -9.22039
  910       353.457     -7.76221
  911       355.662     -6.47775
  912       357.960     -5.37696
  913      0.337660     -4.46870
  914       2.78013     -3.76048
  915       5.27164     -3.25833
  916       7.79555     -2.96662
  917       10.3347     -2.88789
  918       12.8715     -3.02287
  919       15.3885     -3.37033
  920       17.8687     -3.92725
  921       20.8148     -4.88096
  922       23.1560     -5.88284
  923       25.4109     -7.07314
  924       27.5664     -8.44246
  925       29.6106     -9.98035
  926       31.5324     -11.6755
  927       33.3217     -13.5161
  928       34.9686     -15.4895
  929       36.4638     -17.5829
  930       37.7976     -19.7829
